cps19_religion,cps19_province,cps19_yob,cps19_employment,cps19_gender,cps19_education,cps19_imm,cps19_bornin_canada,cps19_econ_retro,cps19_own_fin_retro,pes19_votechoice2019,pes19_nativism1,pes19_nativism5,pes19_immigjobs,age,attitude,cpes19_immigjobs,cpes19_nativism1,cpes19_nativism5
Orthodox,Ontario,72,Working for pay full-time,Female,Master degree,About the same number of immigrants as now,Canadian,Stayed about the same,2,Liberal,Somewhat disagree,Strongly disagree,Somewhat disagree,28,2.0,2.0,2.0,1.0
Atheist,British Columbia,41,Retired,Male,Bachelor degree,Fewer immigrants,Canadian,Got worse,2,Conservative,Somewhat agree,Strongly disagree,Strongly disagree,59,1.0,1.0,4.0,1.0
Atheist,Alberta,35,Retired,Male,Bachelor degree,More immigrants,Canadian,Got worse,2,Conservative,Neither agree nor disagree,Strongly disagree,Strongly disagree,65,3.0,1.0,3.0,1.0
Pentecostal/ Fundamentalist/ Born Again/ Evangelical,Newfoundland,36,Working for pay part-time,Female,Completed technical,Fewer immigrants,Canadian,Got worse,2,Conservative,Strongly agree,Somewhat agree,Somewhat agree,64,1.0,4.0,5.0,4.0
United Church of Canada,Ontario,46,Working for pay full-time,Female,Bachelor degree,Fewer immigrants,Canadian,Got better,1,Liberal,Somewhat agree,Somewhat disagree,Somewhat disagree,54,1.0,2.0,4.0,2.0
Anglican,Nova Scotia,32,Working for pay part-time,Male,Some university,Fewer immigrants,Canadian,Got better,1,Liberal,Somewhat agree,Somewhat disagree,Neither agree nor disagree,68,1.0,3.0,4.0,2.0
Atheist,Ontario,65,Working for pay full-time,Female,Completed technical,About the same number of immigrants as now,Canadian,Got worse,1,NDP,Strongly disagree,Strongly disagree,Strongly disagree,35,2.0,1.0,1.0,1.0
Orthodox,Alberta,44,Self employed,Male,Bachelor degree,Fewer immigrants,Immigrant,Stayed about the same,3,Conservative,Strongly agree,Somewhat disagree,Somewhat disagree,56,1.0,2.0,5.0,2.0
Atheist,Ontario,72,Working for pay full-time,Female,Bachelor degree,Fewer immigrants,Canadian,Stayed about the same,2,Conservative,Somewhat agree,Strongly disagree,Somewhat disagree,28,1.0,2.0,4.0,1.0
Atheist,British Columbia,46,Working for pay full-time,Female,Master degree,About the same number of immigrants as now,Canadian,Got worse,3,Liberal,Somewhat agree,Somewhat disagree,Somewhat agree,54,2.0,4.0,4.0,2.0
Protestant,Ontario,37,Retired,Male,Some technical,Fewer immigrants,Canadian,Got worse,3,Conservative,Strongly agree,Somewhat disagree,Neither agree nor disagree,63,1.0,3.0,5.0,2.0
Atheist,Quebec,40,Working for pay full-time,Female,Professional degree or doctorate,About the same number of immigrants as now,Canadian,Stayed about the same,2,Liberal,Somewhat agree,Strongly disagree,Strongly disagree,60,2.0,1.0,4.0,1.0
Protestant,Ontario,19,Retired,Male,Master degree,About the same number of immigrants as now,Canadian,Got worse,3,Conservative,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,81,2.0,2.0,3.0,3.0
United Church of Canada,Ontario,19,Retired,Male,Some secondary/ high school,Fewer immigrants,Canadian,Got worse,3,Conservative,Strongly agree,Strongly agree,Neither agree nor disagree,81,1.0,3.0,5.0,5.0
Catholic,Ontario,43,Working for pay full-time,Male,Completed secondary/ high school,Fewer immigrants,Canadian,Got worse,2,Liberal,Strongly agree,Somewhat agree,Strongly agree,57,1.0,5.0,5.0,4.0
Agnostic,Ontario,81,Working for pay part-time,Female,Completed secondary/ high school,About the same number of immigrants as now,Canadian,Got better,3,Liberal,Somewhat disagree,Strongly disagree,Neither agree nor disagree,19,2.0,3.0,2.0,1.0
Presbyterian,Ontario,34,Working for pay full-time,Male,Completed technical,About the same number of immigrants as now,Canadian,Stayed about the same,2,Liberal,Strongly agree,Somewhat disagree,Somewhat disagree,66,2.0,2.0,5.0,2.0
Atheist,Nova Scotia,42,Working for pay full-time,Male,Completed technical,More immigrants,Canadian,Got worse,2,NDP,Strongly disagree,Strongly disagree,Strongly disagree,58,3.0,1.0,1.0,1.0
Atheist,Ontario,58,Working for pay full-time,Male,Bachelor degree,About the same number of immigrants as now,Canadian,Stayed about the same,2,Liberal,Somewhat disagree,Strongly disagree,Strongly disagree,42,2.0,1.0,2.0,1.0
United Church of Canada,Ontario,23,Retired,Female,Completed technical,Fewer immigrants,Canadian,Stayed about the same,2,Conservative,Strongly agree,Strongly agree,Strongly agree,77,1.0,5.0,5.0,5.0
Catholic,Ontario,40,Retired and working for pay,Male,Bachelor degree,More immigrants,Canadian,Got better,1,Liberal,Somewhat disagree,Strongly disagree,Strongly disagree,60,3.0,1.0,2.0,1.0
Baptist,Ontario,60,Working for pay full-time,Female,Master degree,Fewer immigrants,Immigrant,Got worse,3,Conservative,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,40,1.0,3.0,4.0,3.0
Baptist,New Brunswick,32,Working for pay part-time,Other,Completed secondary/ high school,Fewer immigrants,Canadian,Got worse,2,Conservative,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,68,1.0,3.0,5.0,3.0
Atheist,Quebec,65,Working for pay full-time,Female,Bachelor degree,Fewer immigrants,Canadian,Stayed about the same,1,Not voted,Strongly agree,Strongly disagree,Strongly disagree,35,1.0,1.0,5.0,1.0
Jewish,Ontario,27,Retired,Male,Bachelor degree,About the same number of immigrants as now,Canadian,Stayed about the same,2,Liberal,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,73,2.0,3.0,4.0,3.0
Atheist,New Brunswick,44,Working for pay full-time,Male,Completed technical,About the same number of immigrants as now,Canadian,Stayed about the same,2,Green Party,Somewhat agree,Somewhat disagree,Somewhat disagree,56,2.0,2.0,4.0,2.0
Anglican,Ontario,33,Retired,Male,Some technical,About the same number of immigrants as now,Immigrant,Got better,2,NDP,Somewhat agree,Somewhat disagree,Somewhat disagree,67,2.0,2.0,4.0,2.0
United Church of Canada,Ontario,28,Retired,Male,Some technical,Fewer immigrants,Canadian,Stayed about the same,2,Liberal,Strongly agree,Strongly agree,Somewhat agree,72,1.0,4.0,5.0,5.0
United Church of Canada,Ontario,17,Retired,Female,Some university,More immigrants,Canadian,Got better,2,Liberal,Neither agree nor disagree,Somewhat disagree,Strongly disagree,83,3.0,1.0,3.0,2.0
United Church of Canada,Ontario,30,Retired,Female,Bachelor degree,About the same number of immigrants as now,Canadian,Stayed about the same,2,Liberal,Strongly agree,Neither agree nor disagree,Somewhat agree,70,2.0,4.0,5.0,3.0
Catholic,Ontario,32,Retired,Female,Completed secondary/ high school,About the same number of immigrants as now,Immigrant,Got better,2,Liberal,Somewhat agree,Strongly disagree,Strongly disagree,68,2.0,1.0,4.0,1.0
Atheist,Ontario,46,Unemployed/ looking for work,Female,Bachelor degree,Fewer immigrants,Immigrant,Got worse,3,Conservative,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,54,1.0,3.0,2.0,2.0
Presbyterian,Ontario,39,Working for pay full-time,Female,Completed technical,More immigrants,Canadian,Got better,2,Liberal,Somewhat disagree,Strongly disagree,Strongly disagree,61,3.0,1.0,2.0,1.0
Agnostic,Ontario,35,Self employed,Male,Completed technical,About the same number of immigrants as now,Canadian,Stayed about the same,2,NDP,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,65,2.0,3.0,4.0,3.0
Orthodox,Ontario,48,Working for pay full-time,Female,Bachelor degree,About the same number of immigrants as now,Immigrant,Stayed about the same,2,Liberal,Neither agree nor disagree,Strongly disagree,Strongly disagree,52,2.0,1.0,3.0,1.0
Mennonite,Ontario,40,Self employed,Male,Master degree,More immigrants,Canadian,Got better,1,Green Party,Neither agree nor disagree,Strongly disagree,Strongly disagree,60,3.0,1.0,3.0,1.0
Atheist,Ontario,46,Working for pay full-time,Male,Completed secondary/ high school,More immigrants,Canadian,Stayed about the same,2,Liberal,Neither agree nor disagree,Somewhat disagree,Somewhat agree,54,3.0,4.0,3.0,2.0
Agnostic,Quebec,51,Self employed,Female,Completed secondary/ high school,More immigrants,Canadian,Got better,1,Green Party,Somewhat disagree,Strongly disagree,Strongly disagree,49,3.0,1.0,2.0,1.0
Catholic,Ontario,52,Working for pay part-time,Female,Bachelor degree,About the same number of immigrants as now,Canadian,Stayed about the same,2,Liberal,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,48,2.0,2.0,3.0,2.0
